[dual math     ] n= 500 raw= 58.4 ours= 72.6 paper= 72.6  (fails=208, +ours71/+paper71)
[dual gsm8k    ] n=1319 raw= 81.6 ours= 81.9 paper= 81.9  (fails=243, +ours4/+paper4)
[dual amc      ] n=1280 raw= 48.4 ours= 48.4 paper= 48.4  (fails=661, +ours0/+paper0)
[dual minerva  ] n= 272 raw= 20.2 ours= 36.8 paper= 36.8  (fails=217, +ours45/+paper45)
[dual olympiad ] n= 675 raw= 29.9 ours= 39.1 paper= 39.1  (fails=473, +ours62/+paper62)
[dual aime2024 ] n= 960 raw= 10.0 ours= 10.0 paper= 10.0  (fails=864, +ours0/+paper0)
[dual aime2025 ] n= 960 raw= 16.6 ours= 16.6 paper= 16.6  (fails=801, +ours0/+paper0)
[dual math     ] n= 500 raw= 62.0 ours= 76.0 paper= 76.0  (fails=190, +ours70/+paper70)
[dual gsm8k    ] n=1319 raw= 92.1 ours= 92.3 paper= 92.3  (fails=104, +ours2/+paper2)
[dual amc      ] n=1280 raw= 47.7 ours= 47.7 paper= 47.7  (fails=670, +ours0/+paper0)
[dual minerva  ] n= 272 raw= 21.3 ours= 46.7 paper= 46.7  (fails=214, +ours69/+paper69)
[dual olympiad ] n= 675 raw= 32.1 ours= 42.4 paper= 42.4  (fails=458, +ours69/+paper69)
[dual aime2024 ] n= 960 raw= 10.0 ours= 10.0 paper= 10.0  (fails=864, +ours0/+paper0)
[dual aime2025 ] n= 960 raw= 10.1 ours= 10.1 paper= 10.1  (fails=863, +ours0/+paper0)
[dual math     ] n= 500 raw= 61.8 ours= 75.4 paper= 75.4  (fails=191, +ours68/+paper68)
[dual gsm8k    ] n=1319 raw= 91.7 ours= 91.7 paper= 91.7  (fails=110, +ours0/+paper0)
[dual amc      ] n=1280 raw= 52.6 ours= 52.6 paper= 52.6  (fails=607, +ours0/+paper0)
[dual minerva  ] n= 272 raw= 25.7 ours= 51.1 paper= 51.1  (fails=202, +ours69/+paper69)
[dual olympiad ] n= 675 raw= 33.9 ours= 42.8 paper= 42.8  (fails=446, +ours60/+paper60)
[dual aime2024 ] n= 960 raw= 13.3 ours= 13.3 paper= 13.3  (fails=832, +ours0/+paper0)
[dual aime2025 ] n= 960 raw= 10.0 ours= 10.0 paper= 10.0  (fails=864, +ours0/+paper0)
[dual math     ] n= 500 raw= 60.2 ours= 74.0 paper= 74.0  (fails=199, +ours69/+paper69)
[dual gsm8k    ] n=1319 raw= 91.7 ours= 91.7 paper= 91.7  (fails=109, +ours0/+paper0)
[dual amc      ] n=1280 raw= 47.3 ours= 47.3 paper= 47.3  (fails=674, +ours0/+paper0)
[dual minerva  ] n= 272 raw= 25.4 ours= 51.8 paper= 51.8  (fails=203, +ours72/+paper72)
[dual olympiad ] n= 675 raw= 31.1 ours= 40.4 paper= 40.4  (fails=465, +ours63/+paper63)
[dual aime2024 ] n= 960 raw=  9.6 ours=  9.6 paper=  9.6  (fails=868, +ours0/+paper0)
[dual aime2025 ] n= 960 raw=  6.7 ours=  6.7 paper=  6.7  (fails=896, +ours0/+paper0)
[dual math     ] n= 500 raw= 62.2 ours= 76.8 paper= 76.8  (fails=189, +ours73/+paper73)
[dual gsm8k    ] n=1319 raw= 91.7 ours= 91.7 paper= 91.7  (fails=109, +ours0/+paper0)
[dual amc      ] n=1280 raw= 50.7 ours= 50.7 paper= 50.7  (fails=631, +ours0/+paper0)
[dual minerva  ] n= 272 raw= 26.1 ours= 49.3 paper= 49.3  (fails=201, +ours63/+paper63)
[dual olympiad ] n= 675 raw= 32.6 ours= 41.9 paper= 41.9  (fails=455, +ours63/+paper63)
[dual aime2024 ] n= 960 raw= 16.7 ours= 16.7 paper= 16.7  (fails=800, +ours0/+paper0)
[dual aime2025 ] n= 960 raw=  6.7 ours=  6.7 paper=  6.7  (fails=896, +ours0/+paper0)
[dual math     ] n= 500 raw= 61.4 ours= 75.6 paper= 75.6  (fails=193, +ours71/+paper71)
[dual gsm8k    ] n=1319 raw= 91.4 ours= 91.4 paper= 91.4  (fails=113, +ours0/+paper0)
[dual amc      ] n=1280 raw= 52.7 ours= 52.7 paper= 52.7  (fails=606, +ours0/+paper0)
[dual minerva  ] n= 272 raw= 25.7 ours= 50.0 paper= 50.0  (fails=202, +ours66/+paper66)
[dual olympiad ] n= 675 raw= 31.7 ours= 41.8 paper= 41.8  (fails=461, +ours68/+paper68)
[dual aime2024 ] n= 960 raw= 13.3 ours= 13.3 paper= 13.3  (fails=832, +ours0/+paper0)
[dual aime2025 ] n= 960 raw=  6.7 ours=  6.7 paper=  6.7  (fails=896, +ours0/+paper0)
